,к,ш
автор (Aranea MIN),4,6
копирайтер (Aranea MIN),0,0
редактор (Aranea MIN),0,8
репортер (Aranea MIN),1,1
дизайнер (Aranea MIN),0,2
секретарь (Aranea MIN),0,273
блогер (Aranea MIN),0,6
оператор (Aranea MIN),0,0
продюсер (Aranea MIN),0,0
режиссер (Aranea MIN),0,0
автор (Aranea MAX),389,961
копирайтер (Aranea MAX),1,7
редактор (Aranea MAX),31,241
репортер (Aranea MAX),26,196
дизайнер (Aranea MAX),56,130
секретарь (Aranea MAX),108,38961
блогер (Aranea MAX),27,699
оператор (Aranea MAX),17,141
продюсер (Aranea MAX),5,38
режиссер (Aranea MAX),42,72
автор (RNC),3,60
копирайтер (RNC),0,0
редактор (RNC),0,268
репортер (RNC),1,12
дизайнер (RNC),0,5
секретарь (RNC),1,3400
блогер (RNC),0,8
оператор (RNC),0,12
продюсер (RNC),0,6
режиссер (RNC),3,22